7785269,47,15705
7785269,50,15217
7785269,53,14699
7785269,56,14208
7785269,59,13721
7785269,62,13207
1837625,46,20331
1837625,49,21559
1837625,52,22785
1837625,55,24002
1837625,58,22769
1837625,61,21563
1837625,64,20330
5190285,44,14459
5190285,46,15504
5190285,48,16546
5190285,50,15505
5190285,52,14464
5190285,54,13419
5190285,56,12373
5190285,58,11305
5190285,60,10275
2672704,64,10297
2672704,66,11565
2672704,68,12844
2672704,70,14095
2672704,72,12839
2672704,74,11564
3154152,59,15668
3154152,62,16534
3154152,65,17395
3154152,68,18276
3154152,71,17405
3154152,74,16550
3870899,67,13782
3870899,70,14683
3870899,73,15585
3870899,76,16504
3870899,79,17412
3870899,82,18318
3870899,85,17394
3870899,88,16499
3870899,91,15588
3870899,94,14688
2449414,10,20435
2449414,12,21100
2449414,14,21756
2449414,16,22396
2449414,18,23031
2449414,20,22379
2449414,22,21728
2449414,24,21070
2449414,26,20404
1111186,46,22429
1111186,48,23359
1111186,50,24321
1111186,52,25266
1111186,54,24308
1111186,56,23363
1111186,58,22413
1111186,60,21448
4808338,79,11069
4808338,81,11799
4808338,83,12536
4808338,85,13269
4808338,87,14021
4808338,89,14757
4808338,91,14028
4808338,93,13309
4808338,95,12564
4808338,97,11838
5571789,20,19404
5571789,22,20888
5571789,24,19415
5571789,26,17918
5571789,28,16415
5571789,30,14935
4495050,17,13123
4495050,19,14524
4495050,21,15928
4495050,23,17313
4495050,25,15945
4495050,27,14575
4495050,29,13209
4495050,31,11831
4495050,33,10451
4495050,35,9051
3286037,79,20335
3286037,82,21101
3286037,85,21849
3286037,88,21094
3286037,91,20333
2775234,37,11821
2775234,39,13146
2775234,41,14475
2775234,43,15803
2775234,45,14473
2775234,47,13146
4725782,76,22393
4725782,78,23851
4725782,80,22380
4725782,82,20915
4725782,84,19468
4725782,86,18022
4725782,88,16572
6574628,30,17203
6574628,33,17779
6574628,36,17196
6574628,39,16603
6574628,42,16004
6574628,45,15435
6574628,48,14835
4990697,53,14662
4990697,55,15434
4990697,57,16237
4990697,59,17042
4990697,61,17847
4990697,63,18649
4990697,65,17872
4990697,67,17083
4990697,69,16295
6114766,74,22617
6114766,77,24097
6114766,80,25582
6114766,83,24088
6114766,86,22603
1565580,14,14833
1565580,17,13970
1565580,20,13081
1565580,23,12203
1565580,26,11311
1565580,29,10434
2832251,52,28452
2832251,55,28979
2832251,58,29477
2832251,61,30010
2832251,64,29511
2832251,67,28989
2832251,70,28481
2832251,73,27974
2832251,76,27453
1261138,29,17869
1261138,32,18561
1261138,35,19229
1261138,38,19912
1261138,41,19253
1261138,44,18584
1261138,47,17900
1261138,50,17230
2187255,62,18183
2187255,65,19682
2187255,68,21171
2187255,71,22669
2187255,74,21174
2187255,77,19683
2187255,80,18203
2187255,83,16702
6594768,20,26240
6594768,22,26991
6594768,24,27741
6594768,26,26997
6594768,28,26215
6594768,30,25470
6594768,32,24707
6594768,34,23963
6594768,36,23181
6594768,38,22399
3890221,48,13822
3890221,51,14639
3890221,54,15443
3890221,57,14614
3890221,60,13792
3890221,63,12972
3890221,66,12165
1325549,66,21738
1325549,69,23152
1325549,72,24531
1325549,75,25944
1325549,78,27360
1325549,81,25943
1325549,84,24555
1325549,87,23171
